Games with Regional Prices in CAD,USD,CAD,UAH,TRY,ARS,BRL,AUD,JPY,KRW,CNY,PLN,MXN,INR,SAR,ZAR,PHP,VND,IDR,KZT,MYR,CLP,TWD,Lowest Regional Price
iRacing,13.707279000000002,12.99,7.387791290364265,7.944459000000001,7.944459000000001,8.151407141956746,14.289357170769833,11.958834380541894,10.852888428976252,8.026658866789237,17.279465209890745,9.082190220959967,7.638629702612018,12.074480000000001,10.077706402838677,8.052060779326341,9.20589824192082,7.651941525360691,7.720018559702565,8.644498221813986,8.18256312840077,13.001387246197005,UAH
Arma Reforger,52.455383,49.99,29.51833053349989,27.428279,27.428279,37.06061101006646,43.63660479353914,45.21472875359204,44.29951731463942,28.475527884561817,48.8401322599195,41.75141224328552,41.35999707726799,51.206772,41.01166772137595,40.86000215467407,27.88072038981734,42.04401268957702,37.3134230385624,38.61747803763631,30.59567082793331,56.074328446727364,TRY
Assassins Creed Shadows,72.021529,67.49,49.21910730780459,57.61447900000001,57.61447900000001,64.85792242171041,66.98750553601667,67.74827316507607,58.45760358334935,49.87995152933311,81.68952654782443,76.85690853570648,58.46734484874283,73.81898,72.62321311530987,52.260278058060585,46.95008103379618,50.38984998815803,50.17754729854677,57.92621705645447,64.03602751563587,69.77722939325875,VND
Sons Of The Forest,41.149279,38.99,19.70077677430471,20.567779,20.567779,21.988291044641734,39.27562524423603,31.373485257594478,31.57203906611273,20.639979943172325,52.22163230099401,24.537808711342684,20.687955444574218,22.498781066666666,20.932231162138955,21.87276211697603,20.252976132225804,20.685611526469568,19.557380351246497,23.267434466190917,22.05734408525425,22.822579050878193,KZT
Stellaris,54.870279000000004,52.99,32.145100770073846,32.916679,32.916679,35.57808773477878,50.89298879770744,49.73620162895125,43.41155371590501,32.10663546715695,69.50485473315261,44.97511731324639,34.99447232509131,43.9072,39.073498169326044,38.43356771982931,34.92980818648814,36.0737509471336,33.96808166269128,44.27275724816882,40.1301356905916,47.60939646269263,CNY
Palworld,41.149279,38.99,19.70077677430471,20.567779,20.567779,21.988291044641734,39.27562524423603,31.373485257594478,31.57203906611273,20.639979943172325,52.22163230099401,24.537808711342684,20.687955444574218,22.498781066666666,20.932231162138955,21.87276211697603,20.252976132225804,20.685611526469568,19.557380351246497,23.267434466190917,22.05734408525425,22.822579050878193,KZT
Call of Duty Black Ops 6,96.033279,89.98999999999998,108.3214376307187,96.033279,96.033279,83.76256505375378,98.2560863618601,90.42945750718408,96.59070701788863,93.26213159507495,129.4363071277965,102.47587804760863,89.1014327185931,109.39844773333334,110.78577159517246,88.9091726051586,88.37662312243987,87.4517212977628,102.93100745651428,107.45030500011777,92.48430916778541,103.77726006946457,BRL
Farming Simulator 25,68.59127900000001,68.75,41.01045031851097,50.06792900000001,50.06792900000001,55.097977526066536,66.97856910251402,60.69846647778132,43.41155371590501,39.94218340854644,87.16379939209727,66.65620033205388,43.762982671214694,45.718372,36.82522148894816,33.53022324525447,49.97487617042731,45.74397729421439,51.20945644602701,51.38225111283827,63.85956876295384,56.074328446727364,PHP
Warhammer 40000 Space Marine 2,82.312279,79.99,42.6521817163697,54.870279000000004,48.00977900000001,49.392733788334446,80.38321935651948,90.42945750718408,68.86651021295839,47.58662042453619,78.89791040280403,58.59876889157,44.54275945335633,91.10744000000001,69.69657709171452,47.951824641062835,43.662260233110175,46.1644182619921,43.721038443115525,54.61383923314257,62.60016556840868,74.36045223544329,UAH
Kingdom Come Deliverance II,82.312279,79.99,52.502570103522054,61.730779000000005,61.730779000000005,73.87907655183592,80.38321935651948,74.65043992174687,59.98687422561418,43.57329099114157,95.25309893480109,69.58690789508806,53.47040791828413,81.96010666666668,73.65044297789632,57.294618745314025,52.55252767816514,53.90053206910188,51.72412435000718,60.72154078051768,64.02179697106475,82.07710293912137,CNY
Forza Horizon 5,82.312279,79.99,39.36871892065224,44.97743800000001,44.97743800000001,61.52471592443861,80.38321935651948,70.03669208974767,59.098910626879764,47.39550949913645,93.89298447383555,102.47587804760863,55.68242776966553,91.10744000000001,77.44925529991413,72.0839709767155,52.07908148286636,58.77764729532327,51.4642170584972,64.30860359405546,62.47209066726849,78.94367507762784,UAH
Crusader Kings III,68.59127900000001,66.99,40.02541147979573,41.149279,41.149279,44.473227386504846,62.510352351178845,64.50019469134864,54.26444214488125,37.83996322914926,87.16379939209727,56.182271953192156,42.951378265312165,54.884,48.84187271165756,48.04796865036822,43.662260233110175,45.15527585113205,42.46010207836411,55.26015685720342,50.09151689038384,59.30129146826547,CNY
House Flipper 2,35.660879,33.7,12.312985483940443,21.391039000000003,14.256119000000002,17.343051448740344,33.97632017715254,32.73915461586624,27.22101743231407,16.892294696083347,24.418187518825818,19.37739012059642,16.550364355659376,23.183001600000004,16.629494756588166,17.18574166333831,14.992462851128193,16.39711365513697,15.496650588842948,18.69473727596034,17.06384599524411,19.59561602934009,UAH
Warhammer 40000 Rogue Trader,68.59127900000001,42.23,26.234867737782434,34.288779,34.288779,30.8834306963678,62.54609808518952,59.978721815989445,52.29118970324921,35.928853975151824,75.14068813494347,38.088943406701944,31.82762376088341,34.37567866666667,32.17361456402839,33.6504032568862,30.77400269442103,31.61707668868992,25.730821859488646,38.455898631621096,33.86869607929363,34.888614696629375,KZT
Stronghold Crusader Definitive Edition,24.684079,23.39,12.247316228026094,12.952624,12.952624,13.340238605463618,23.726230949589684,19.10091602447664,19.09121737279004,13.071987297342474,31.10604315561763,15.030039611571706,12.603739009309832,13.483169333333334,12.908209216652354,13.303927287633222,12.30960107776841,12.562692029004294,12.043228953136001,14.251303610541935,13.447864619719526,13.796436106575959,KZT
Broken Arrow,68.59127900000001,64.99,30.372030860386424,31.544579,31.544579,33.35430282184726,65.6827862446268,50.75122615199107,52.29118970324921,32.10663546715695,71.38346586708289,37.72269652304358,31.82762376088341,34.37567866666667,32.17361456402839,33.6504032568862,30.77400269442103,31.61707668868992,30.108072382840003,35.54746932334724,33.86869607929363,34.888614696629375,KZT
Euro Truck Simulator 2,6.846779000000001,6.49,3.2834627957174516,3.457692,3.457692,3.827380922367687,6.586151491468022,6.413109486478872,6.117082569059341,4.204440358794362,7.510687313453271,4.485791831047572,3.660176732501592,5.3896088,4.244591318989287,3.8758053751235,3.682359296768328,3.6997964282502553,3.3453413758711115,4.362643962410797,3.8778233956334085,5.004131062385177,UAH
EA SPORTS FC 25,96.033279,89.98999999999998,55.786032899239494,96.033279,96.033279,73.87907655183592,34.85209066041423,90.42945750718408,21.705776857952504,22.551089197169762,120.1935403488595,95.15094037444148,15.897898068561263,98.42530666666667,93.02826215929126,84.10197213988916,25.776515077378296,20.097078259774335,59.184235618199764,25.529546150403924,89.51012535241885,98.1651504667896,INR
Street Fighter 6,54.870279000000004,54.99,39.36871892065224,41.149279,41.149279,44.22861104608238,56.25484889930963,46.045203363351895,44.20085469255782,37.83996322914926,63.49705632684357,46.07385796422147,39.768615889223824,47.56613333333333,44.11273900465579,47.8316446294311,41.76847545191504,41.20321484221517,41.170858978893776,45.88855130832098,42.549328267684004,52.84736542518927,CNY
